devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:33:48.000,"-2,259,542","-6,881,004",-1.05,-0.26,-0.01,1262.0,"20,981,651,945",1,Yes
2022-12-04 00:33:49.000,"-225,952,016","-688,099,866",-0.45,-0.27,-0.01,1258.0,"9,612,069,572",0,No
2022-12-04 00:33:50.000,"-225,949,866","-688,099,266",-0.55,-0.32,-0.02,1258.0,"10,578,514,242",0,No
2022-12-04 00:33:51.000,"-225,947,666","-688,098,583",-0.47,-0.26,-0.02,1260.0,"9,752,031,968",0,No
2022-12-04 00:33:52.000,"-225,945,483","-68,809,785",-0.77,-0.26,-0.02,1261.0,"14,059,083,093",0,No
2022-12-04 00:33:53.000,"-225,943,316","-688,097,083",-0.89,-0.29,-0.01,1264.0,"17,215,607,163",1,Yes
2022-12-04 00:33:54.000,"-225,941,183","-688,096,266",-0.67,-0.31,-0.03,1265.0,"11,647,318,053",0,No
2022-12-04 00:33:55.000,"-225,939,083","-688,095,383",-1.07,-0.29,-0.01,1269.0,"21,257,390,769",1,Yes
2022-12-04 00:33:56.000,"-225,937,016","-688,094,483",-0.17,-0.27,0.0,1272.0,"6,969,869,696",0,No
2022-12-04 00:33:57.000,"-22,593,495","-688,093,516",-0.39,-0.2,-0.01,1274.0,"8,465,345,214",0,No
2022-12-04 00:33:58.000,"-225,932,916","-688,092,516",0.04,0.04,0.0,1310.0,"7,959,955,242",0,No
2022-12-04 00:33:59.000,"-225,930,866","-688,091,483",0.75,0.17,0.01,1297.0,"12,780,329,783",0,No
2022-12-04 00:34:00.000,"-225,928,816","-6,880,904",0.66,0.11,0.01,1302.0,"10,683,836,854",0,No
2022-12-04 00:34:02.000,"-225,926,766","-688,089,266",-0.01,0.04,0.0,1304.0,"7,499,012,288",0,No
2022-12-04 00:34:03.000,"-225,924,683","-688,088,133",0.32,0.07,0.01,1311.0,"8,191,352,586",0,No
2022-12-04 00:34:04.000,"-2,259,226","-688,087,033",-0.19,0.06,0.0,1317.0,"6,913,741,005",0,No
2022-12-04 00:34:05.000,"-2,259,205","-688,085,916",-0.17,0.05,0.0,1318.0,"6,969,869,696",0,No
2022-12-04 00:34:06.000,"-225,918,383","-688,084,816",0.57,-0.02,0.01,1321.0,"10,976,822,971",0,No
2022-12-04 00:34:07.000,"-22,591,415","-6,880,826",-0.83,-0.17,0.0,1324.0,"15,457,371,062",0,No
2022-12-04 00:34:08.000,"-225,912,016","-6,880,815",-0.51,-0.19,-0.01,1329.0,"10,134,247,691",0,No
2022-12-04 00:34:09.000,"-225,909,883","-6,880,804",-0.19,0.0,0.0,1334.0,"6,913,741,005",0,No
2022-12-04 00:34:10.000,"-225,907,766","-68,807,925",0.07,-0.03,0.0,1336.0,"7,661,680,954",0,No
2022-12-04 00:34:11.000,"-22,590,565","-688,078,083",-0.51,-0.07,0.0,1341.0,"10,134,247,691",0,No
2022-12-04 00:34:12.000,"-225,903,533","-688,076,916",-0.01,0.11,0.0,1347.0,"7,499,012,288",0,No
2022-12-04 00:34:13.000,"-225,903,533","-688,076,916",0.25,0.09,0.0,1349.0,"8,247,216,404",0,No
2022-12-04 00:34:14.000,"-225,901,433","-688,075,716",-0.13,0.08,0.0,1334.0,"7,331,990,095",0,No
2022-12-04 00:34:15.000,"-225,897,166","-688,073,333",-1.01,0.09,0.0,1330.0,"19,966,179,113",1,Yes
2022-12-04 00:34:16.000,"-22,589,505","-688,072,116",0.04,0.12,0.01,1328.0,"7,959,955,242",0,No
2022-12-04 00:34:17.000,"-225,892,933","-688,070,933",0.55,0.18,0.01,1324.0,"10,573,531,755",0,No
2022-12-04 00:34:18.000,"-225,890,833","-68,806,975",-0.33,0.12,0.0,1324.0,"8,197,389,374",0,No
2022-12-04 00:34:19.000,"-225,888,733","-6,880,686",0.26,0.05,0.01,1319.0,"8,250,415,489",0,No
2022-12-04 00:34:20.000,"-225,886,616","-6,880,674",-0.53,-0.21,0.01,1318.0,"10,247,354,139",0,No
2022-12-04 00:34:21.000,"-2,258,845","-688,066,266",-0.55,-0.09,0.0,1314.0,"10,578,514,242",0,No
2022-12-04 00:34:22.000,"-2,258,824","-688,065,116",-0.55,-0.01,0.0,1312.0,"10,578,514,242",0,No
2022-12-04 00:34:23.000,"-225,880,266","-688,064",-0.29,0.0,0.01,1311.0,"8,302,432,291",0,No
2022-12-04 00:34:24.000,"-225,878,166","-6,880,629",-0.03,0.0,0.01,1307.0,"7,589,447,784",0,No
